Total Quantity,Category
138,Stationary
45,Gardern and Outdoor
34,Mobile & Accessories
25,Gifts
24,Women's Fashion
22,Accessories
20,Men's Fashion
19,Fitness
18,Digital Devices
17,Toys
13,Home Decor
12,Women Fashion
11,Music
10,Baby Care
10,Food essentials
8,Footwear
7,Bed room
7,Cleaning supplies
7,Grocery
7,Personal Care
6,Electricals
6,Electronics
6,Entertainment Systems
6,Kitchen Storage
5,Bags and Luggage
5,Camera Accessories
5,Lightings
5,Lock and Security
4,Electronic Appliances
4,Kid's fashion
4,Mens accessories
4,Software
4,Storage
3,Baby Products
3,Books
3,Car Accessories
3,Furnitures
3,Gaming Accessories
3,Home Appliances
3,Laptop Accessories
3,Musical Instruments
3,Pet Care
3,Pet Supplies
3,Tablets
2,Air Conditioner
2,Appliances
2,Bike care
2,Digital Appliances
2,Gardening
2,Home furnishing
2,Home lighting
2,Kitchen and dining
2,Living Room Furniture
2,Men's Bottom Wear
2,Men's Grooming
2,Movies
2,Personal Safety
2,Religious items
2,School Supplies
1,Camera
1,Computer Peripherals
1,Health
1,Health care appliances
1,Kitchen Appliances
1,Laptop and Desktop
1,Laptops
1,Large appliances
1,Mobile accessories
1,Seasonal Appliances
1,Smart Wearables
1,Sports
1,Tools and Utility
1,Tv and Appliances
1,Washing Machine
